Index,Cr,Co,Cu,Fe,Mo,Mn,Ni,Ti
94,6.04,21.08,7.25,13.19,28.35,12.75,4.48,6.86
95,19.15,3.35,22.98,18.68,3.67,3.99,18.21,9.97
96,18.96,3.72,22.75,19.96,3.88,5.74,16.03,8.96
97,17.54,4.49,21.05,20.88,3.78,6.41,16.18,9.67
98,16.99,5.04,20.39,20.01,4.56,7.72,15.59,9.69
99,16.6,4.77,19.92,21.42,5.35,6.82,15.19,9.93
100,15.68,5.54,18.81,21.77,5.74,8.71,14.25,9.5
101,15.53,7.04,18.63,20.74,7.06,7.91,13.34,9.75
102,14.23,7.37,17.08,21.05,8.11,8.99,12.37,10.79
103,12.82,7.99,15.39,22.12,8.8,11.18,10.85,10.85
104,12.73,10.03,15.27,20.12,10.31,11.32,10.26,9.96
105,11.75,10.88,14.11,21.18,12.82,11.07,9.09,9.09
106,10.39,11.61,12.47,20.05,12.44,11.75,10.51,10.78
107,11.22,12.86,13.47,18.37,15.05,10.97,9.18,8.88
108,8.82,14.49,10.58,18.48,17.14,13.13,8.55,8.82
109,9.55,16.34,11.46,16.83,17.91,11.94,6.84,9.12
110,8.05,16.6,9.66,17.16,19.43,14.88,6.05,8.17
111,8.17,18.4,9.8,13.04,22.87,13.04,6.5,8.19
112,7.05,20.19,8.46,13.22,23.24,14.62,5.53,7.69
113,8.14,20.72,9.77,12.46,25.31,12.85,3.97,6.78
114,6.2,21.21,7.44,11.57,29.24,12.64,4.75,6.94
115,4.44,24.47,5.33,11.24,30.03,13.52,4.64,6.32
116,19.1,3.19,22.92,18.93,2.99,5.55,18.1,9.22
117,19.09,3.06,22.91,19.54,3.34,4.76,17.59,9.72
118,17.23,4.64,20.68,18.98,3.46,6.63,17.89,10.48
119,17.2,4.8,20.64,19.46,4.31,7.18,16.46,9.95
120,15.96,5.58,19.15,19.45,5.58,6.54,16.84,10.91
121,16.06,6.95,19.28,18.55,5.55,8.91,15.07,9.64
122,15.14,6.55,18.17,19.27,7.71,8.26,13.88,11.01
123,14.04,8.22,16.85,19.04,9.12,8.91,13.13,10.7
124,13.47,8.71,16.16,17.96,8.37,10.61,13.47,11.26
125,12.54,10.38,15.05,18.93,10.03,11.17,10.95,10.95
126,11.92,11.02,14.3,18.19,11.86,11.86,11.04,9.81
127,10.89,11.55,13.06,17.94,12.78,12.99,10.39,10.39
128,10.25,14.35,12.3,17.0,15.37,11.18,8.38,11.18
129,9.4,14.95,11.28,15.67,15.67,14.24,7.69,11.11
130,9.18,15.37,11.02,14.71,18.23,13.84,7.91,9.75
131,8.8,19.27,10.56,12.47,20.24,13.41,6.49,8.75
132,8.71,18.64,10.45,12.72,20.64,14.16,6.33,8.35
133,6.81,21.41,8.18,12.97,23.03,14.13,5.57,7.9
134,6.98,21.54,8.38,12.12,25.01,14.43,4.62,6.92
135,5.83,23.06,7.0,12.12,26.51,14.58,4.54,6.36
136,6.53,24.27,7.84,10.27,28.25,13.0,2.5,7.32
137,19.18,2.93,23.02,17.17,2.97,4.87,19.79,10.06
138,18.06,3.87,21.67,17.02,3.28,5.82,18.63,11.64
139,16.69,4.67,20.03,17.59,3.83,7.23,18.21,11.74
140,16.2,4.33,19.43,18.7,5.01,6.48,18.02,11.84
141,15.96,5.91,19.15,17.81,4.59,8.81,15.87,11.9
142,15.42,6.69,18.51,17.88,6.1,8.33,15.36,11.71
143,14.44,7.62,17.33,17.62,7.08,8.98,15.13,11.81
144,14.1,8.14,16.92,16.76,7.69,9.66,13.96,12.78
145,12.88,10.0,15.46,18.04,8.2,11.24,12.65,11.52
146,12.41,10.53,14.89,16.68,10.34,11.75,12.69,10.72
147,11.35,12.15,13.62,16.88,11.49,13.13,10.41,10.97
148,10.68,12.15,12.81,16.32,12.81,13.43,10.16,11.65
149,8.85,14.65,10.62,14.89,14.89,13.88,10.62,11.59
150,8.93,15.85,10.71,15.38,15.38,14.52,8.2,11.02
151,9.11,17.56,10.93,13.64,17.05,13.88,7.6,10.23
